order_id,order_date,delivery_date,origin_city,destination_city,distance_km,vehicle_type,delivery_time_hours,delivery_cost,weather_condition,traffic_level,delayed,customer_rating,is_weekend,month,day_of_week
ORD-10000,2023-05-13,2023-05-12 19:00:00,port harcourt,Port Harcourt,187.9,Bike,3.2380600227379763,369.03332333272607,Rain,High,0,2.8900466011060915,True,5,Saturday
ORD-10001,2023-04-16,2023-04-17 14:00:00,Ibadan,Abuja,78.84,Truck,3.531728861097547,175.99865466579178,Storm,Medium,0,4.270181444490113,True,4,Sunday
ORD-10002,2023-06-02,2023-06-04 15:00:00,Lagos,Ibadan,11.27,Bike,0.19167842135733176,24.398257123641503,Storm,Medium,0,2.9545624180177517,False,6,Friday
ORD-10003,2023-05-05,2023-05-05 05:00:00,Port Harcourt,Kano,92.52,Truck,2.875999141114961,143.3609301092293,Clear,High,0,3.2280728504951046,False,5,Friday
ORD-10004,2023-04-27,2023-04-29 16:00:00,Port Harcourt,Abuja,306.31,VAN,11.974704482998463,332.12865458564534,Clear,Low,0,3.64017496054259,False,4,Thursday
ORD-10005,2023-02-12,2023-02-13 13:00:00,Abuja,Port Harcourt,392.8,Van,14.035112148560405,600.3825748177333,Rain,Medium,0,2.616126031799994,True,2,Sunday
ORD-10006,2023-05-10,2023-05-12 07:00:00,Abuja,Ibadan,304.16,Truck,11.34038244319191,191.65218504480526,Clear,Medium,1,4.914080082686398,False,5,Wednesday
ORD-10007,2023-12-08,2023-12-08 17:00:00,Port Harcourt,Lagos,404.39,BIKE,12.564724079214265,281.19025236608314,Storm,Low,0,3.6003812343490034,False,12,Friday
ORD-10008,2023-05-19,2023-05-21 15:00:00,ibadan,Kano,61.9,Truck,1.5549999043154796,35.20729891406403,Rain,Low,1,3.1469499540000423,False,5,Friday
ORD-10009,2023-06-26,2023-06-26 07:00:00,Ibadan,Ibadan,331.6,Truck,10.212993569015739,510.70911164512415,Clear,Low,0,2.9621361388138174,False,6,Monday
ORD-10010,2023-01-20,2023-01-22 13:00:00,Kano,Kano,484.82,Truck,9.50528429505222,1153.3857536983005,Rain,Low,1,3.994749947027713,False,1,Friday
ORD-10011,2023-02-25,2023-02-27 00:00:00,Port Harcourt,Abuja,461.02,Truck,19.58478648379307,411.2140384649486,Rain,Low,0,3.313325826908161,True,2,Saturday
ORD-10012,2023-06-02,2023-06-02 04:00:00,Kano,Kano,194.95,Van,6.318475552878678,420.5997548183372,Rain,Low,0,3.202336274218452,False,6,Friday
ORD-10013,2023-12-03,2023-12-05 10:00:00,Kano,Abuja,271.81,Truck,10.602267374536472,571.995322677511,Clear,Low,0,4.967217341501293,True,12,Sunday
ORD-10014,2023-07-20,2023-07-20 02:00:00,Lagos,Kano,386.35,Bike,13.823576964513306,,Storm,High,1,4.267143359619043,False,7,Thursday
ORD-10015,2023-02-11,2023-02-12 13:00:00,Kano,Ibadan,364.77,VAN,7.173336516322296,236.40353522608828,Storm,Medium,0,2.7896726488128243,True,2,Saturday
ORD-10016,2023-11-27,2023-11-28 07:00:00,Port Harcourt,Kano,431.69,Bike,9.607645327852275,501.53573669728024,Rain,High,0,3.2774558042891555,False,11,Monday
ORD-10017,2023-03-30,2023-03-30 21:00:00,Port Harcourt,Lagos,,Bike,3.3195587920002927,289.8230166963313,Storm,Low,1,3.6805373129048733,False,3,Thursday
ORD-10018,2023-07-24,2023-07-24 20:00:00,Ibadan,Port Harcourt,60.68,Truck,1.2503659739369435,122.66887350014667,Clear,High,0,4.427417949886403,False,7,Monday
ORD-10019,2023-05-02,2023-05-02 01:00:00,Ibadan,Kano,247.4,Bike,-5.0,,Rain,High,0,2.769728567483261,False,5,Tuesday
ORD-10020,2023-03-25,2023-03-25 07:00:00,Abuja,Lagos,16.68,Van,0.3669448958464418,18.82691552870626,Rain,High,0,4.768916184815232,True,3,Saturday
ORD-10021,2023-02-27,2023-02-28 12:00:00,Port Harcourt,Lagos,125.4,Van,3.4436058944806303,252.19222554659663,Clear,Medium,0,,False,2,Monday
